StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,Q34,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5_1,Q5_2,Q5_3,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q35,Q35_6_TEXT,Q23,Q36_6_TEXT,Q36,Q37_6_TEXT,Q37,Q38_6_TEXT,Q38,Q39_6_TEXT,Q39,Q40_6_TEXT,Q40,Q8_1,Q8_2,Q10,Q11,Q2,Q3,Q15,Q35,Q37_6_TEXT - Topics
8/29/15 17:13,8/29/15 17:37,0,128.171.71.146,100,1445,1,8/29/15 17:37,R_d57ogCVVOTpoWix,,,,,19.69760132,-155.1412964,anonymous,2032,5,5,5,6,5,5,2,8,8,4,4,5,5,5,1,1,1,5,5,5,3,3,2,4,2,1,6,architect,15,medical,16,engineer,16,scientist,14,biologist,14,commander,16,1,1,7.5,2,I moved boxes and did the dishes. ,We made some goofy toys together,8/29/15,"N/a
",
8/31/15 19:55,8/31/15 20:02,0,128.171.71.146,100,423,1,8/31/15 20:02,R_0SqrMAZNxnWglFj,,,,,19.69760132,-155.1412964,anonymous,2032,5,5,4,4,5,5,3,7,7,4,3,5,3,5,1,1,1,5,5,5,2,2,2,4,3,1,6,architect,15,medical,16,engineer,16,scientist,15,biologist,15,commander,16,1,1,7.5,2,"Did the dishes and cooked with everyone, group interview we all did together, pretty good times","Had fun watching Lilo and Stitch together, had a big group yoga, all good",8/31/15,"Badge software is apparently down, still getting things up and running",
8/31/15 20:33,8/31/15 20:49,0,128.171.71.146,100,932,1,8/31/15 20:49,R_eEaS4Qlacw4Df8x,,,,,19.69760132,-155.1412964,anonymous,2033,5,5,5,5,5,5,7,3,3,3,6,6,4,5,2,2,3,5,5,5,5,2,5,3,4,4,6,architect,15,medical,15,engineer,15,scientist,15,biologist,15,commander,15,1,3,8,1,First day of delayed coms was very difficult. We had a hard time communicating both with our crew and to mission support,We each exercised today and watched a movie tohgether tonight,8/31/15,Gui not showing any connection to badges and dropdown menus do not do anything when clicked. We could not wear the badges today for the reason of nothing happe ing with the gui ,
8/31/15 20:52,8/31/15 20:57,0,128.171.71.146,100,280,1,8/31/15 20:57,R_9RBsX7DrqFjmY8l,,,,,19.69760132,-155.1412964,anonymous,2033,5,5,5,5,5,5,7,3,4,4,5,5,5,5,2,2,4,5,5,5,5,3,5,3,5,4,6,architect,15,medical,15,engineer,15,scientist,15,biologist,15,commander,15,1,3,8,1,It issues today,Running and movie today,8/31/15,Gui not working,
8/31/15 20:52,8/31/15 21:03,0,128.171.71.146,100,643,1,8/31/15 21:03,R_eKYlUrxkeFB0V37,,,,,19.69760132,-155.1412964,anonymous,2035,6,6,6,6,5,6,3,8,8,5,5,5,5,5,1,1,5,6,6,5,4,4,3,4,4,1,6,architect,15,medical,,engineer,15,scientist,14,biologist,14,commander,14,1,1,6,3,We got our stuff done when we needed to get it done.,"sharing a meal, chatting, watching a video",8/31/15,"The station software did not run, possibly owing to a bad cable.",
8/31/15 21:21,8/31/15 21:28,0,128.171.71.146,100,455,1,8/31/15 21:28,R_0PdzlB80PZXsgO9,,,,,19.69760132,-155.1412964,anonymous,2036,5,6,6,5,5,6,2,9,9,5,5,6,6,6,1,1,5,5,6,6,4,4,3,5,4,2,6,architect,15,medical,16,engineer,16,scientist,16,biologist,16,commander,14,1,1,6,2,"I coordinated work on the MX-C spacesuits, which required coordination with several crewmembers, and was also able to pick up small side tasks to help ththe team overall",We were able to set aside some scheduled free time for the first time during the mission to watch a movie,8/31/16,"Badge base station software did not work, so badges were not worn today.  Problem has been reported, but no solution has been provided yet.",
8/31/15 21:17,8/31/15 21:30,0,128.171.71.146,100,776,1,8/31/15 21:30,R_bqOgvLncgIQ1rlr,,,,,19.69760132,-155.1412964,anonymous,2034,5,5,5,5,5,5,3,5,7,3,4,4,4,5,2,2,5,5,5,5,3,2,3,4,2,2,6,architect,14,medical,14,engineer,14,scientist,14,biologist,14,commander,15,2,2,7,2,Made media video together - effective because we got it done,"Fixed some computer issues together, emptied food boxes - good team work
Group yoga was distracting from work for the two who did not participate
",8/31/15,,
8/31/15 21:16,8/31/15 21:30,0,128.171.71.146,100,817,1,8/31/15 21:30,R_cSd0khzGK4LV6Bv,,,,,19.69760132,-155.1412964,anonymous,2031,4,4,5,5,5,4,3,7,6,2,3,4,4,5,1,1,2,4,5,5,3,2,2,3,3,3,6,architect,13,medical,13,engineer,14,scientist,13,biologist,14,commander,15,2,1,7,1,"Most of my work was alone, but worked effectively in setting IT with a crewmate. We made it work.","I chatted with several crewmembers, and it was pleasant. We also answered questions for a video intrrview and watched a movie together. All positive.",8/31/15,See badge report.,
9/1/15 20:42,9/1/15 20:53,0,64.75.215.58,100,660,1,9/1/15 20:53,R_9SmtEE8TzaHAMgB,,,,,20.00169373,-155.5326996,anonymous,2031,5,5,6,5,6,5,3,7,7,2,2,5,4,5,1,2,3,3,6,5,2,2,3,4,3,2,6,architect,13,medical,13,engineer,15,scientist,15,biologist,15,commander,15,3,2,7,2,"I helped a crewmember to complete a task for their project.
",We had dinner and dansed salsa together. That was pleasant.,9/1/15,,
9/1/15 20:48,9/1/15 20:53,0,128.171.71.146,100,260,1,9/1/15 20:53,R_ddsKbQ3hBSCZniB,,,,,19.69760132,-155.1412964,anonymous,2035,6,6,6,6,6,6,1,7,9,6,6,6,6,6,2,3,5,5,6,5,4,4,4,4,4,2,6,architect,14,medical,14,engineer,16,scientist,14,biologist,15,commander,14,1,1,5,2,"We built things, cooked things, cleaned things, things. Not the same things.",See previous.,9/1/15,Badges still don't work.,
